id,text,is_evaluative(yes/no),dimension,polarity(+/-/0)
1,戴高乐时期法国生活水平并没有很高,no,,
2,林冲数值机制可能都要压鲁大师武松一头，但良好的出身和性格会让他吃大亏，,no,,
3,这两集把上上集两个没有高光的角色都补了高光呀,no,,
4,还有反转？,yes,plot,+
5,这是一口气看完，这个系列更了几年了，剧情肯定会推的,yes,overall,+
6,主要剧本太牛了,yes,plot,+
7,还有看斗2,no,,
8,谋士以身入局，以天下人为棋,yes,plot,+
9,↑↑↑她不是芙蓉的演员,no,,
10,近卫军2.0:伤害s，防疫a,no,,
11,浓浓的昭和味儿。,no,,
12,阿曼达变异后的同款眼睛,no,,
13,感觉这个发型很会打牌的样子,no,,
14,这里真笑了,yes,visuals,+
15,针不戳！！,yes,visuals,+
16,打不过别人，还守不过吗？对吧法国,no,,
17,哈哈，我看了一下就他最明显，可能有诈，故意选了一张别的,no,,
18,虽然暴政，但是起码救回来了,no,,
19,太强了吧,yes,plot,+
20,学生是花经院，画老师人像的时候手一抖给画上老师抹脖了,yes,plot,0
21,【恐怖】,yes,plot,0
22,老天这个眼睛也太大了,yes,visuals,0
23,这对比不对吧，后者是赔世界战争的总额所以高的离谱，这是两个国家而已，50亿法郎的确太过分了，并且就是德国人这里要的太狠才导致一战后被法国人报复，纯属活该,no,,
24,民族主义大于当时的思想意识形态，这点在苏芬战争也有体现,no,,
25,吸冰吸大了。,no,,
26,哇，还有耐透,no,,
27,62斤的水磨禅杖一巴掌就拍回去了,no,,
28,前几天又重温了，真好看啊,yes,overall,+
29,现在的全麦面粉都是加了其他东西的，并非100%的全麦,no,,
30,最浪漫的时刻,yes,plot,+
31,其实所有魔术都挺扯淡的，不过没必要纠结，好看就行,no,,
32,解锁成就：骷髅使者,no,,
33,动画太神了！,yes,overall,+
34,来财 来,no,,
35,渔舟唱晚的dna响了,yes,music,0
36,特摄特有素材复用（）,yes,plot,0
37,前面的说有肉山的那个人站着，你是不是玩泰拉瑞亚的因为只有泰拉瑞亚里才有肉山。,no,,
38,边祈祷边射击,no,,
39,这段有点像《致不灭的你》皮欧兰跟不死对话的感觉,yes,plot,+
40,隐士：资金加倍(最高20),no,,
41,这是真正属于人类的浪漫,yes,plot,+
42,建议直接封神,yes,overall,+
43,蒸烤一体机一定要看多长时间能上蒸汽，快的几分钟，慢的得半个小时,no,,
44,这里是把方块七的下面一张牌抽出来一点，这样在拨牌的时候方块七停留时间更长，自然记得就是方块七,no,,
45,三国鼎立,no,,
46,连被德国暴打都这么潇洒,no,,
47,其实，他们都玩不过班纳,no,,
48,地狱中的房子,no,,
49,那克苏鲁呢？,no,,
50,达瓦里希！,no,,
